,C,A,B,N,M,R,G,H,D
0,0,0,0,2,1,1,0,0,0
1,1,1,0,0,1,0,0,0,0
2,3,0,0,0,0,0,0,0,0
3,1,2,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0
6,2,1,0,1,1,0,0,0,0
7,0,2,1,0,0,0,0,0,0
8,2,1,0,0,0,0,0,0,0
9,0,2,0,0,0,0,0,0,0
10,2,0,1,0,0,0,1,0,0
11,3,1,0,0,0,0,0,0,0
12,2,0,0,1,0,0,0,0,0
13,2,0,0,2,0,0,0,0,0
14,4,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0,0
16,2,0,0,1,1,0,0,0,0
17,2,0,0,0,0,0,0,0,0
18,3,1,1,0,0,0,0,1,0
19,3,1,0,2,0,0,0,0,0
20,0,0,0,1,1,0,0,0,0
21,4,0,0,0,0,0,0,0,0
22,0,0,0,1,0,1,0,0,0
23,0,0,0,0,0,2,0,0,0
24,5,0,0,0,0,0,0,0,0
25,0,0,0,1,1,0,0,0,0
26,0,2,0,1,0,0,0,0,0
27,0,2,0,0,0,0,0,0,0
28,0,1,0,0,0,1,0,0,0
29,0,0,0,1,1,1,0,0,0
30,1,0,0,0,0,1,0,0,0
31,2,1,1,1,0,0,0,0,0
32,0,1,0,1,1,0,0,0,0
33,2,0,1,0,0,0,0,0,0
34,4,1,0,3,1,0,0,1,0
35,3,1,0,2,0,0,0,0,0
36,0,0,0,0,0,2,0,0,0
37,2,0,0,0,0,0,0,0,0
38,0,1,0,0,1,0,0,0,0
39,3,0,0,0,0,0,0,0,0
40,0,1,0,0,0,1,0,0,0
41,0,0,1,1,0,0,0,0,0
42,0,2,0,1,0,0,0,0,0
43,1,0,0,0,0,1,0,0,0
44,3,0,0,1,1,0,0,0,0
45,1,1,0,2,0,0,0,0,0
46,0,1,0,0,1,0,0,0,0
47,1,2,0,0,1,0,0,0,0
48,0,0,1,0,0,1,0,0,0
49,3,0,0,0,0,0,0,0,0
50,3,1,0,1,1,0,0,0,0
51,0,1,0,1,1,2,0,0,0
52,2,0,0,0,0,0,0,0,0
53,1,2,1,0,0,0,0,0,0
54,3,1,0,0,0,0,0,0,0
55,1,2,1,0,0,0,0,0,0
56,1,0,0,0,1,1,0,0,1
57,0,0,0,4,1,0,0,0,0
58,3,2,1,0,0,0,0,0,0
59,1,1,0,0,0,0,0,0,0
60,0,0,1,3,0,0,0,0,0
61,0,2,0,1,0,0,0,0,0
62,3,1,1,0,0,0,0,0,0
63,0,0,0,1,1,0,0,0,0
64,0,1,0,2,0,0,0,0,0
65,2,0,0,0,0,0,0,0,0
66,1,0,0,0,1,0,0,0,0
67,3,1,1,2,0,0,0,0,0
68,0,1,1,0,0,0,0,0,0
69,0,0,0,1,0,1,0,0,0
70,2,0,1,0,1,0,0,0,0
71,3,3,0,1,0,0,0,0,0
72,2,0,1,0,1,0,0,0,0
73,0,1,0,1,0,1,0,0,0
74,1,1,0,0,0,0,0,0,0
75,3,1,1,1,1,1,0,0,0
76,0,0,0,0,0,2,0,0,0
77,0,0,0,1,0,1,0,0,0
78,0,0,0,1,1,1,0,0,0
79,0,1,0,0,2,0,0,0,0
80,0,1,0,1,1,1,0,0,0
81,0,0,0,1,1,1,0,0,0
82,2,0,0,0,0,0,0,0,0
83,0,1,0,0,3,0,0,0,0
84,3,0,0,2,0,1,0,0,0
85,4,2,0,1,0,0,0,0,0
86,0,0,0,0,1,1,0,0,0
87,2,1,0,1,0,0,0,0,0
88,6,0,1,0,1,0,0,0,0
89,4,2,0,0,0,0,0,0,0
90,1,3,0,1,1,1,0,0,0
91,4,3,0,0,0,1,0,0,0
92,5,1,0,1,0,1,0,0,0
93,0,0,0,1,1,0,0,0,0
94,3,0,0,0,0,0,0,0,0
95,3,1,0,0,0,0,0,0,0
96,4,0,0,0,0,0,0,0,0
97,3,2,1,2,2,0,0,0,0
98,1,1,1,1,1,1,0,0,0
99,0,3,0,0,0,0,0,0,0
100,2,0,0,0,0,1,0,0,0
101,0,0,0,1,1,1,0,0,0
102,2,0,0,0,0,0,0,0,0
103,3,1,1,0,1,1,0,0,0
104,4,2,1,0,0,0,0,0,0
105,5,2,0,1,0,0,1,0,0
106,1,0,1,0,0,1,0,0,0
107,4,1,0,1,0,0,0,0,0
108,0,0,0,2,1,0,0,0,0
109,1,1,1,0,0,0,0,0,0
110,2,0,0,0,1,0,0,0,0
111,4,2,1,2,1,0,0,0,0
112,3,1,0,2,1,0,0,0,0
113,6,0,0,0,2,0,0,0,0
114,2,0,0,0,0,0,0,0,0
115,3,1,0,0,1,0,0,0,0
116,3,0,0,0,0,0,0,1,0
117,2,2,0,1,1,0,0,0,0
118,2,0,0,0,0,1,0,0,0
119,3,1,0,0,0,0,0,0,0
120,0,1,0,0,2,0,0,0,0
121,2,2,0,0,0,0,0,0,0
122,5,0,0,1,0,0,0,0,0
123,3,1,0,1,0,0,0,0,0
124,4,3,0,0,1,0,0,0,0
125,0,1,0,1,0,0,0,0,0
126,2,0,0,0,0,0,0,0,0
127,0,0,0,0,1,1,0,0,0
128,6,1,1,0,0,0,0,0,0
129,0,0,0,1,1,0,0,0,0
130,3,2,0,0,1,0,1,0,0
131,5,1,1,0,1,0,0,0,0
132,1,0,0,0,1,0,0,0,0
133,5,0,0,0,0,0,0,0,0
134,3,1,1,0,1,0,0,0,0
135,0,1,0,0,0,0,0,0,1
136,3,2,0,1,0,1,0,0,0
137,2,3,0,0,0,0,0,0,0
138,2,0,0,0,1,1,0,0,0
139,2,3,0,1,1,0,0,0,0
140,0,0,0,0,3,0,0,0,0
141,1,1,0,1,0,0,0,0,0
142,4,1,0,0,1,0,0,0,0
143,0,1,0,0,0,2,0,0,0
144,4,3,1,1,0,1,0,0,0
145,1,1,0,0,0,0,0,0,0
146,2,1,0,0,0,0,0,0,0
147,1,2,0,0,1,0,0,0,0
148,4,1,1,0,0,0,0,0,0
149,5,2,0,0,0,0,0,0,0
150,0,1,0,1,0,0,0,0,0
151,0,2,0,0,1,1,0,0,0
152,2,2,0,0,0,1,0,0,0
153,2,0,1,0,0,0,0,0,0
154,3,0,1,0,0,0,0,0,0
155,0,0,0,1,1,0,0,0,0
156,2,0,0,0,0,0,0,0,0
157,2,1,0,0,0,0,0,0,0
158,2,0,0,0,0,1,0,0,0
159,3,0,1,0,0,0,0,0,0
160,3,1,0,1,2,0,0,0,0
161,3,1,0,0,1,0,0,0,0
162,2,0,0,1,1,0,0,0,0
163,0,0,0,1,0,0,1,0,0
164,3,0,0,0,0,0,0,0,0
165,5,3,1,0,1,0,0,0,0
166,1,2,0,0,0,0,0,0,0
167,0,0,1,0,0,1,0,0,0
168,3,0,1,0,0,0,0,0,0
169,0,2,0,0,0,0,0,0,0
170,2,1,0,0,0,0,0,0,0
171,2,1,0,0,0,0,0,0,0
172,1,0,0,1,0,1,0,0,0
173,2,0,0,0,0,0,0,0,0
174,1,0,0,0,0,1,0,0,0
175,3,1,0,0,0,0,0,0,0
176,2,0,0,0,0,0,0,0,0
177,2,1,0,1,1,0,0,0,0
178,0,0,0,0,1,1,0,0,0
179,3,0,0,0,0,0,0,0,0
180,0,0,1,0,0,1,0,0,0
181,0,0,0,1,0,1,0,0,0
182,2,1,0,1,0,0,0,0,0
183,2,1,1,0,0,0,0,0,0
184,2,0,0,0,0,0,0,0,0
185,4,1,0,0,0,0,0,0,0
186,3,0,0,0,0,1,0,0,0
187,0,2,0,0,0,0,0,0,0
188,3,1,1,0,0,0,0,0,0
189,1,0,0,1,0,0,0,0,0
190,0,0,0,1,0,2,0,0,0
191,3,1,0,2,1,0,0,0,0
192,3,1,1,0,0,0,0,0,0
193,4,2,0,2,0,1,0,0,0
194,2,1,0,0,1,0,0,0,0
195,3,0,1,2,2,0,0,0,0
